Compromised Chrome Extensions 
bibjgkidgpfbblifamdlkdlhgihmfohh
pkgciiiancapdlpcbppfkmeaieppikkk
epdjhgbipjpbbhoccdeipghoihibnfja
bbdnohkpnbkdkmnkddobeafboooinpla
befflofjcniongenjmbkgkoljhgliihe
cedgndijpacnfbdggppddacngjfdkaca
nnpnnpemnckcfdebeekibpiijlicmpom
dpggmcodlahmljkhlmpgpdcffdaoccni
cplhlgabfijoiabgkigdafklbhhdkahj
egmennebgadmncfjafcemlecimkepcle
mnhffkhmpnefgklngfmlndmkimimbphc
oaikpkmjciadfpddlpjjdapglcihgdle
fbmlcbhdmilaggedifpihjgkkmdgeljh
kkodiihpgodmdankclfibbiphjkfdenh
oeiomhmbaapihbilkfkhmlajkeegnjhe
igbodamhgjohafcenbcljfegbipdfjpk
bgejafhieobnfpjlpcjjggoboebonfcg
llimhhconnjiflfimocjggfjdlmlhblm
hodiladlefdpcbemnbbcpclbmknkiaem
epikoohpebngmakjinphfiagogjcnddm
pajkjnmeojmbapicmbpliphjmcekeaac
ogbhbgkiojdollpjbhbamafmedkeockb
eanofdhdfbcalhflpbdipkjjkoimeeod
ekpkdmohpdnebfedjjfklhpefgpgaaji
miglaibdlgminlepgeifekifakochlka
mbindhfolmpijhodmgkloeeppmkhpmhc
